"","sample","similiraty"
"H367","H325","0.5316"
"H367","H324","0.5522"
"H367","H323","0.567"
"H367","H322","0.4764"
"H367","H321","0.6106"
"H367","H320","0.5353"
"H367","H32","0.6505"
"H367","H319","0.5277"
"H367","H318","0.6004"
"H367","H317","0.6056"
"H367","H316","0.5242"
"H367","H315","0.5339"
"H367","H314","0.7314"
"H367","H313","0.5271"
"H367","H312","0.527"
"H367","H311","0.6487"
"H367","H310","0.5596"
"H367","H309","0.5585"
"H367","H308","0.5584"
"H367","H307","0.5545"
"H367","H306","0.5571"
"H367","H305","0.5588"
"H367","H304","0.5574"
"H367","H303","0.558"
"H367","H302","0.6097"
"H367","H301","0.6304"
"H367","H300","0.5287"
"H367","H30","0.6638"
"H367","H3","0.733"
"H367","H298","0.5857"
"H367","H297","0.5859"
"H367","H296","0.6391"
"H367","H294","0.6436"
"H367","H293","0.5281"
"H367","H292","0.5722"
"H367","H291","0.572"
"H367","H290","0.5723"
"H367","H29","0.664"
"H367","H289","0.5679"
"H367","H288","0.5523"
"H367","H287","0.5651"
"H367","H286","0.4869"
"H367","H285","0.516"
"H367","H284","0.5981"
"H367","H283","0.6644"
"H367","H282","0.6564"
"H367","H281","0.6063"
"H367","H280","0.4664"
"H367","H28","0.6657"
"H367","H279","0.6594"
"H367","H278","0.5342"
"H367","H277","0.6426"
"H367","H276","0.6508"
"H367","H275","0.5739"
"H367","H274","0.5275"
"H367","H273","0.622"
"H367","H272","0.6183"
"H367","H271","0.6143"
"H367","H270","0.6209"
"H367","H27","0.6644"
"H367","H269","0.663"
"H367","H268","0.6243"
"H367","H267","0.6251"
"H367","H266","0.6035"
"H367","H265","0.6199"
"H367","H264","0.621"
"H367","H262","0.5926"
"H367","H26","0.6766"
"H367","H259","0.5984"
"H367","H258","0.6185"
"H367","H257","0.6164"
"H367","H256","0.6125"
"H367","H255","0.6116"
"H367","H254","0.6185"
"H367","H253","0.6294"
"H367","H252","0.6111"
"H367","H251","0.6081"
"H367","H250","0.5991"
"H367","H25","0.6571"
"H367","H249","0.6006"
"H367","H248","0.6303"
"H367","H247","0.6123"
"H367","H246","0.639"
"H367","H245","0.6208"
"H367","H244","0.5623"
"H367","H243","0.5773"
"H367","H242","0.6227"
"H367","H241","0.6804"
"H367","H240","0.6794"
"H367","H24","0.6487"
"H367","H239","0.6223"
"H367","H238","0.5196"
"H367","H237","0.5335"
"H367","H236","0.6512"
"H367","H235","0.6706"
"H367","H234","0.6026"
"H367","H233","0.5838"
"H367","H232","0.5941"
