"","sample","similiraty"
"H218","H158","0.7038"
"H218","H157","0.5684"
"H218","H156","0.5381"
"H218","H155","0.5567"
"H218","H154","0.5429"
"H218","H153","0.5748"
"H218","H152","0.5747"
"H218","H151","0.5705"
"H218","H150","0.5797"
"H218","H15","0.5863"
"H218","H149","0.5738"
"H218","H148","0.5779"
"H218","H147","0.5701"
"H218","H146","0.5016"
"H218","H145","0.5523"
"H218","H144","0.5391"
"H218","H143","0.5753"
"H218","H142","0.5582"
"H218","H141","0.5951"
"H218","H140","0.5836"
"H218","H139","0.5718"
"H218","H138","0.5778"
"H218","H136","0.5691"
"H218","H135","0.5355"
"H218","H134","0.5873"
"H218","H133","0.5817"
"H218","H132","0.4994"
"H218","H131","0.5843"
"H218","H130","0.5679"
"H218","H13","0.5759"
"H218","H129","0.5821"
"H218","H128","0.567"
"H218","H127","0.5783"
"H218","H126","0.5726"
"H218","H125","0.5582"
"H218","H124","0.5692"
"H218","H123","0.5761"
"H218","H122","0.5637"
"H218","H121","0.5763"
"H218","H120","0.5704"
"H218","H12","0.5682"
"H218","H119","0.5705"
"H218","H118","0.5702"
"H218","H117","0.5712"
"H218","H116","0.5708"
"H218","H115","0.5709"
"H218","H114","0.5706"
"H218","H113","0.5708"
"H218","H112","0.5709"
"H218","H111","0.5708"
"H218","H110","0.571"
"H218","H11","0.5686"
"H218","H109","0.571"
"H218","H108","0.5695"
"H218","H107","0.5699"
"H218","H106","0.5704"
"H218","H105","0.5711"
"H218","H104","0.5688"
"H218","H103","0.5687"
"H218","H102","0.5748"
"H218","H101","0.5648"
"H218","H100","0.5758"
"H218","H10","0.5534"
"H218","H1","0.5795"
"H217","H368","0.5861"
"H217","H367","0.5455"
"H217","H366","0.4702"
"H217","H365","0.5734"
"H217","H364","0.6135"
"H217","H363","0.5438"
"H217","H362","0.5572"
"H217","H361","0.5564"
"H217","H99","0.5392"
"H217","H98","0.5533"
"H217","H97","0.5473"
"H217","H96","0.5054"
"H217","H95","0.505"
"H217","H94","0.5042"
"H217","H93","0.5066"
"H217","H92","0.5044"
"H217","H91","0.5406"
"H217","H90","0.5264"
"H217","H9","0.5368"
"H217","H89","0.53"
"H217","H88","0.5485"
"H217","H87","0.5282"
"H217","H86","0.6301"
"H217","H85","0.5395"
"H217","H84","0.5489"
"H217","H83","0.5495"
"H217","H82","0.5562"
"H217","H81","0.5562"
"H217","H8","0.5369"
"H217","H79","0.5686"
"H217","H78","0.5399"
"H217","H77","0.527"
"H217","H76","0.5222"
"H217","H75","0.5126"
"H217","H74","0.5552"
"H217","H73","0.5555"
"H217","H72","0.5313"
"H217","H71","0.5424"
"H217","H70","0.5415"
"H217","H7","0.5369"
"H217","H69","0.5428"
"H217","H68","0.5506"
"H217","H67","0.5544"
"H217","H66","0.5634"
"H217","H65","0.5728"
"H217","H64","0.5399"
"H217","H63","0.5466"
"H217","H62","0.5634"
"H217","H61","0.5555"
"H217","H60","0.5619"
"H217","H6","0.548"
"H217","H59","0.6287"
"H217","H58","0.5586"
"H217","H57","0.5497"
"H217","H56","0.537"
"H217","H55","0.5394"
"H217","H54","0.5387"
"H217","H53","0.5408"
"H217","H52","0.5485"
"H217","H51","0.5063"
"H217","H50","0.538"
"H217","H5","0.547"
"H217","H49","0.5493"
"H217","H48","0.5205"
"H217","H47","0.5775"
"H217","H46","0.5308"
"H217","H45","0.5423"
"H217","H44","0.5629"
"H217","H43","0.5548"
"H217","H42","0.5454"
"H217","H41","0.5485"
"H217","H40","0.5513"
"H217","H4","0.5454"
"H217","H39","0.5547"
"H217","H38","0.5283"
"H217","H37","0.5413"
"H217","H36","0.563"
"H217","H35","0.5778"
"H217","H34","0.5493"
"H217","H335","0.5442"
"H217","H334","0.7554"
"H217","H333","0.475"
"H217","H332","0.5137"
"H217","H331","0.5234"
"H217","H330","0.5157"
"H217","H33","0.5467"
"H217","H329","0.6369"
"H217","H328","0.4921"
"H217","H327","0.5283"
"H217","H326","0.4802"
"H217","H325","0.7018"
"H217","H324","0.5792"
"H217","H323","0.6001"
"H217","H322","0.4793"
"H217","H321","0.5642"
"H217","H320","0.6942"
"H217","H32","0.5412"
"H217","H319","0.7059"
"H217","H318","0.6011"
"H217","H317","0.5863"
"H217","H316","0.5328"
"H217","H315","0.5138"
"H217","H314","0.5349"
"H217","H313","0.7365"
"H217","H312","0.7366"
"H217","H311","0.5376"
"H217","H310","0.7908"
"H217","H309","0.7954"
"H217","H308","0.7907"
"H217","H307","0.7874"
"H217","H306","0.7908"
"H217","H305","0.7965"
"H217","H304","0.7897"
"H217","H303","0.787"
"H217","H302","0.533"
"H217","H301","0.5455"
"H217","H300","0.5091"
"H217","H30","0.5928"
"H217","H3","0.5471"
"H217","H298","0.5658"
"H217","H297","0.5937"
"H217","H296","0.554"
"H217","H294","0.5356"
"H217","H293","0.736"
"H217","H292","0.5361"
"H217","H291","0.5359"
"H217","H290","0.5362"
"H217","H29","0.587"
"H217","H289","0.5788"
"H217","H288","0.6052"
"H217","H287","0.6065"
"H217","H286","0.5015"
"H217","H285","0.5291"
"H217","H284","0.5361"
"H217","H283","0.5275"
"H217","H282","0.5233"
"H217","H281","0.5495"
"H217","H280","0.4533"
"H217","H28","0.5904"
"H217","H279","0.5432"
"H217","H278","0.5052"
"H217","H277","0.5621"
"H217","H276","0.5616"
"H217","H275","0.6805"
"H217","H274","0.7142"
"H217","H273","0.5605"
"H217","H272","0.532"
"H217","H271","0.546"
"H217","H270","0.5479"
"H217","H27","0.5916"
"H217","H269","0.5485"
"H217","H268","0.5318"
"H217","H267","0.5334"
"H217","H266","0.5369"
"H217","H265","0.5392"
"H217","H264","0.5364"
"H217","H262","0.541"
"H217","H26","0.5487"
"H217","H259","0.5325"
"H217","H258","0.5476"
"H217","H257","0.5382"
"H217","H256","0.5497"
"H217","H255","0.535"
"H217","H254","0.5337"
"H217","H253","0.5389"
"H217","H252","0.5371"
"H217","H251","0.5316"
"H217","H250","0.5461"
"H217","H25","0.5796"
"H217","H249","0.5406"
"H217","H248","0.5578"
"H217","H247","0.5333"
"H217","H246","0.5392"
"H217","H245","0.541"
"H217","H244","0.739"
"H217","H243","0.6833"
"H217","H242","0.544"
"H217","H241","0.557"
"H217","H240","0.5564"
"H217","H24","0.5763"
"H217","H239","0.5441"
"H217","H238","0.529"
"H217","H237","0.5241"
"H217","H236","0.5518"
"H217","H235","0.5403"
"H217","H234","0.5764"
"H217","H233","0.5659"
"H217","H232","0.5654"
"H217","H231","0.791"
"H217","H230","0.7868"
"H217","H23","0.525"
"H217","H229","0.7892"
"H217","H228","0.5306"
"H217","H227","0.5332"
"H217","H226","0.4684"
"H217","H225","0.6165"
"H217","H224","0.5391"
"H217","H223","0.5437"
"H217","H222","0.5431"
"H217","H221","0.5439"
"H217","H220","0.5472"
"H217","H219","0.6498"
"H217","H218","0.6415"
"H217","H217","1"
"H217","H216","0.9503"
"H217","H215","0.9516"
"H217","H214","0.942"
"H217","H213","0.9093"
"H217","H212","0.9235"
"H217","H211","0.5546"
"H217","H210","0.5674"
"H217","H21","0.5135"
"H217","H209","0.5317"
"H217","H208","0.5309"
"H217","H207","0.501"
"H217","H206","0.5079"
"H217","H205","0.6901"
"H217","H204","0.6787"
"H217","H203","0.5536"
"H217","H202","0.5512"
"H217","H201","0.5592"
"H217","H200","0.7565"
"H217","H20","0.5709"
"H217","H2","0.5447"
"H217","H199","0.7511"
"H217","H198","0.7336"
"H217","H197","0.7289"
"H217","H196","0.5521"
"H217","H195","0.6012"
"H217","H194","0.5765"
"H217","H193","0.6369"
"H217","H192","0.641"
"H217","H191","0.6558"
"H217","H190","0.6648"
"H217","H19","0.5916"
"H217","H189","0.5911"
"H217","H188","0.6922"
"H217","H187","0.6564"
"H217","H186","0.6675"
"H217","H185","0.6769"
"H217","H184","0.6533"
"H217","H183","0.6606"
"H217","H182","0.6682"
"H217","H181","0.6855"
"H217","H180","0.529"
"H217","H18","0.5562"
"H217","H179","0.5336"
"H217","H178","0.5661"
"H217","H177","0.792"
"H217","H176","0.7534"
"H217","H175","0.7558"
"H217","H174","0.638"
"H217","H173","0.7165"
"H217","H172","0.7409"
"H217","H171","0.7059"
"H217","H170","0.8097"
"H217","H17","0.5541"
"H217","H169","0.618"
"H217","H168","0.538"
"H217","H167","0.532"
"H217","H166","0.6752"
"H217","H165","0.7738"
"H217","H164","0.7831"
"H217","H163","0.7061"
"H217","H162","0.7321"
"H217","H161","0.7241"
"H217","H160","0.7905"
"H217","H16","0.5438"
"H217","H159","0.7859"
"H217","H158","0.7901"
"H217","H157","0.5515"
"H217","H156","0.5005"
"H217","H155","0.5182"
"H217","H154","0.5197"
"H217","H153","0.5572"
"H217","H152","0.5596"
"H217","H151","0.5597"
"H217","H150","0.558"
"H217","H15","0.5686"
"H217","H149","0.5625"
"H217","H148","0.5569"
"H217","H147","0.5538"
"H217","H146","0.5402"
"H217","H145","0.5242"
"H217","H144","0.5128"
"H217","H143","0.5278"
"H217","H142","0.5275"
"H217","H141","0.5524"
"H217","H140","0.5596"
"H217","H139","0.5442"
"H217","H138","0.5378"
"H217","H136","0.5374"
"H217","H135","0.538"
"H217","H134","0.7109"
"H217","H133","0.6259"
"H217","H132","0.4919"
"H217","H131","0.5576"
"H217","H130","0.5539"
"H217","H13","0.5487"
"H217","H129","0.5574"
"H217","H128","0.5497"
"H217","H127","0.536"
"H217","H126","0.5538"
"H217","H125","0.5274"
"H217","H124","0.5308"
"H217","H123","0.538"
"H217","H122","0.5294"
"H217","H121","0.5618"
"H217","H120","0.536"
"H217","H12","0.5367"
"H217","H119","0.5365"
"H217","H118","0.5359"
"H217","H117","0.5364"
"H217","H116","0.5363"
"H217","H115","0.5369"
"H217","H114","0.5367"
"H217","H113","0.5365"
"H217","H112","0.5367"
"H217","H111","0.5365"
"H217","H110","0.5368"
"H217","H11","0.5375"
"H217","H109","0.5368"
"H217","H108","0.5465"
"H217","H107","0.5469"
"H217","H106","0.5467"
"H217","H105","0.547"
"H217","H104","0.5473"
"H217","H103","0.5527"
"H217","H102","0.5348"
"H217","H101","0.5443"
"H217","H100","0.5705"
"H217","H10","0.5314"
"H217","H1","0.545"
"H216","H368","0.5947"
"H216","H367","0.5509"
"H216","H366","0.4661"
"H216","H365","0.5805"
"H216","H364","0.6221"
"H216","H363","0.5488"
"H216","H362","0.563"
"H216","H361","0.5624"
"H216","H99","0.5474"
"H216","H98","0.5595"
"H216","H97","0.5554"
"H216","H96","0.5094"
"H216","H95","0.509"
"H216","H94","0.5085"
"H216","H93","0.5101"
"H216","H92","0.5089"
"H216","H91","0.5448"
"H216","H90","0.5375"
"H216","H9","0.5423"
"H216","H89","0.542"
"H216","H88","0.5542"
"H216","H87","0.546"
"H216","H86","0.6342"
"H216","H85","0.5556"
"H216","H84","0.5573"
"H216","H83","0.5504"
"H216","H82","0.5684"
"H216","H81","0.5687"
"H216","H8","0.5429"
"H216","H79","0.5701"
"H216","H78","0.5406"
"H216","H77","0.5447"
"H216","H76","0.5395"
"H216","H75","0.5201"
"H216","H74","0.5677"
"H216","H73","0.5678"
"H216","H72","0.5374"
"H216","H71","0.5486"
"H216","H70","0.5477"
"H216","H7","0.5426"
"H216","H69","0.5467"
"H216","H68","0.555"
"H216","H67","0.5591"
"H216","H66","0.5714"
"H216","H65","0.5703"
"H216","H64","0.5498"
"H216","H63","0.5433"
"H216","H62","0.5663"
"H216","H61","0.5642"
"H216","H60","0.5583"
"H216","H6","0.5472"
"H216","H59","0.6393"
"H216","H58","0.5619"
"H216","H57","0.5533"
"H216","H56","0.5428"
"H216","H55","0.5493"
"H216","H54","0.5484"
"H216","H53","0.5491"
"H216","H52","0.5567"
"H216","H51","0.5188"
"H216","H50","0.5542"
"H216","H5","0.5457"
"H216","H49","0.5574"
"H216","H48","0.5267"
"H216","H47","0.5916"
"H216","H46","0.5395"
"H216","H45","0.5477"
"H216","H44","0.5711"
"H216","H43","0.5596"
"H216","H42","0.5562"
"H216","H41","0.5499"
"H216","H40","0.5557"
"H216","H4","0.5446"
"H216","H39","0.5672"
"H216","H38","0.5371"
"H216","H37","0.5459"
"H216","H36","0.5732"
"H216","H35","0.5886"
"H216","H34","0.5502"
"H216","H335","0.5481"
"H216","H334","0.7557"
"H216","H333","0.4803"
"H216","H332","0.5199"
"H216","H331","0.534"
"H216","H330","0.5224"
"H216","H33","0.5547"
"H216","H329","0.6382"
"H216","H328","0.5037"
"H216","H327","0.5341"
"H216","H326","0.4944"
"H216","H325","0.7171"
"H216","H324","0.5936"
"H216","H323","0.611"
"H216","H322","0.4942"
"H216","H321","0.5695"
"H216","H320","0.7103"
"H216","H32","0.5483"
"H216","H319","0.7178"
"H216","H318","0.6112"
"H216","H317","0.596"
"H216","H316","0.5403"
"H216","H315","0.5195"
"H216","H314","0.5409"
"H216","H313","0.7506"
"H216","H312","0.7509"
"H216","H311","0.544"
"H216","H310","0.8053"
"H216","H309","0.8104"
"H216","H308","0.8057"
"H216","H307","0.802"
"H216","H306","0.8056"
"H216","H305","0.8115"
"H216","H304","0.8047"
"H216","H303","0.8013"
"H216","H302","0.5413"
"H216","H301","0.5578"
"H216","H300","0.5203"
"H216","H30","0.5987"
"H216","H3","0.5458"
"H216","H298","0.5769"
"H216","H297","0.6093"
"H216","H296","0.5573"
"H216","H294","0.5433"
"H216","H293","0.7504"
"H216","H292","0.5428"
"H216","H291","0.5426"
"H216","H290","0.5429"
"H216","H29","0.594"
"H216","H289","0.5914"
"H216","H288","0.614"
"H216","H287","0.6195"
"H216","H286","0.5141"
"H216","H285","0.5438"
"H216","H284","0.5465"
"H216","H283","0.5363"
"H216","H282","0.529"
"H216","H281","0.5581"
"H216","H280","0.4667"
"H216","H28","0.5981"
"H216","H279","0.5483"
"H216","H278","0.5072"
"H216","H277","0.5597"
"H216","H276","0.559"
"H216","H275","0.6893"
"H216","H274","0.7279"
"H216","H273","0.5659"
"H216","H272","0.541"
"H216","H271","0.5563"
"H216","H270","0.5697"
"H216","H27","0.5983"
"H216","H269","0.5586"
"H216","H268","0.547"
"H216","H267","0.5394"
"H216","H266","0.5508"
"H216","H265","0.5459"
"H216","H264","0.5402"
"H216","H262","0.5507"
"H216","H26","0.5493"
"H216","H259","0.5474"
"H216","H258","0.5542"
"H216","H257","0.5501"
"H216","H256","0.5573"
"H216","H255","0.5445"
"H216","H254","0.5454"
"H216","H253","0.5481"
"H216","H252","0.5463"
"H216","H251","0.5414"
"H216","H250","0.562"
"H216","H25","0.5808"
"H216","H249","0.5563"
"H216","H248","0.5702"
"H216","H247","0.5428"
"H216","H246","0.5471"
"H216","H245","0.5497"
"H216","H244","0.7498"
"H216","H243","0.6958"
"H216","H242","0.5502"
"H216","H241","0.5626"
"H216","H240","0.5619"
"H216","H24","0.5743"
"H216","H239","0.5505"
"H216","H238","0.5422"
"H216","H237","0.5393"
"H216","H236","0.5542"
"H216","H235","0.5463"
"H216","H234","0.5922"
"H216","H233","0.5763"
"H216","H232","0.5763"
"H216","H231","0.806"
"H216","H230","0.8018"
"H216","H23","0.5422"
"H216","H229","0.8043"
"H216","H228","0.5435"
"H216","H227","0.5372"
"H216","H226","0.4807"
"H216","H225","0.6235"
"H216","H224","0.5369"
"H216","H223","0.5464"
"H216","H222","0.547"
"H216","H221","0.5431"
"H216","H220","0.5443"
"H216","H219","0.655"
"H216","H218","0.6653"
"H216","H217","0.9503"
"H216","H216","1"
"H216","H215","0.9409"
"H216","H214","0.946"
"H216","H213","0.9406"
"H216","H212","0.9359"
"H216","H211","0.5639"
"H216","H210","0.5783"
"H216","H21","0.5185"
"H216","H209","0.544"
"H216","H208","0.5389"
"H216","H207","0.5144"
"H216","H206","0.5055"
"H216","H205","0.7021"
"H216","H204","0.6932"
"H216","H203","0.5668"
"H216","H202","0.5647"
"H216","H201","0.5726"
"H216","H200","0.7667"
"H216","H20","0.5775"
"H216","H2","0.5442"
"H216","H199","0.7715"
"H216","H198","0.7493"
"H216","H197","0.7324"
"H216","H196","0.5503"
"H216","H195","0.6215"
"H216","H194","0.5928"
"H216","H193","0.6596"
"H216","H192","0.6593"
"H216","H191","0.6543"
"H216","H190","0.6785"
"H216","H19","0.5951"
"H216","H189","0.5866"
"H216","H188","0.7025"
"H216","H187","0.6488"
"H216","H186","0.667"
"H216","H185","0.6687"
"H216","H184","0.6627"
"H216","H183","0.6734"
"H216","H182","0.6842"
"H216","H181","0.7062"
"H216","H180","0.5241"
"H216","H18","0.5559"
"H216","H179","0.5413"
"H216","H178","0.5684"
"H216","H177","0.808"
"H216","H176","0.765"
"H216","H175","0.7672"
"H216","H174","0.6342"
"H216","H173","0.7231"
"H216","H172","0.756"
"H216","H171","0.7288"
"H216","H170","0.833"
"H216","H17","0.557"
"H216","H169","0.6274"
"H216","H168","0.5516"
"H216","H167","0.5463"
"H216","H166","0.6888"
"H216","H165","0.7897"
"H216","H164","0.7992"
"H216","H163","0.7187"
"H216","H162","0.746"
"H216","H161","0.7371"
"H216","H160","0.8055"
"H216","H16","0.543"
"H216","H159","0.8039"
"H216","H158","0.8039"
"H216","H157","0.5599"
"H216","H156","0.4958"
"H216","H155","0.5263"
"H216","H154","0.5349"
"H216","H153","0.5568"
"H216","H152","0.559"
"H216","H151","0.559"
"H216","H150","0.5573"
"H216","H15","0.5701"
"H216","H149","0.5621"
"H216","H148","0.5562"
"H216","H147","0.5532"
"H216","H146","0.5456"
"H216","H145","0.5392"
"H216","H144","0.5237"
"H216","H143","0.5435"
"H216","H142","0.5321"
"H216","H141","0.5548"
"H216","H140","0.5645"
"H216","H139","0.5479"
"H216","H138","0.5486"
"H216","H136","0.5501"
"H216","H135","0.5457"
"H216","H134","0.7091"
"H216","H133","0.6481"
"H216","H132","0.499"
"H216","H131","0.5723"
"H216","H130","0.5549"
"H216","H13","0.5538"
"H216","H129","0.5615"
"H216","H128","0.5493"
"H216","H127","0.5475"
"H216","H126","0.5539"
"H216","H125","0.5443"
"H216","H124","0.5249"
"H216","H123","0.5383"
"H216","H122","0.5382"
"H216","H121","0.5645"
"H216","H120","0.5419"
"H216","H12","0.5419"
"H216","H119","0.5422"
"H216","H118","0.5416"
"H216","H117","0.5422"
"H216","H116","0.542"
"H216","H115","0.5426"
"H216","H114","0.5424"
"H216","H113","0.5422"
"H216","H112","0.5424"
"H216","H111","0.5422"
"H216","H110","0.5425"
"H216","H11","0.5413"
"H216","H109","0.5425"
"H216","H108","0.5477"
"H216","H107","0.5478"
"H216","H106","0.5478"
"H216","H105","0.547"
"H216","H104","0.5452"
"H216","H103","0.5595"
"H216","H102","0.541"
"H216","H101","0.543"
"H216","H100","0.5766"
"H216","H10","0.5278"
"H216","H1","0.5443"
"H215","H368","0.6023"
"H215","H367","0.5656"
"H215","H366","0.4659"
"H215","H365","0.5879"
"H215","H364","0.6294"
"H215","H363","0.5508"
"H215","H362","0.573"
"H215","H361","0.5723"
"H215","H99","0.5542"
"H215","H98","0.5807"
"H215","H97","0.5627"
"H215","H96","0.5152"
"H215","H95","0.5156"
"H215","H94","0.5153"
"H215","H93","0.515"
"H215","H92","0.5132"
"H215","H91","0.5526"
"H215","H90","0.5384"
"H215","H9","0.5511"
"H215","H89","0.5459"
"H215","H88","0.5623"
"H215","H87","0.5402"
"H215","H86","0.642"
"H215","H85","0.5562"
"H215","H84","0.5658"
"H215","H83","0.5681"
"H215","H82","0.5691"
"H215","H81","0.5691"
"H215","H8","0.5556"
"H215","H79","0.5935"
"H215","H78","0.564"
"H215","H77","0.5381"
"H215","H76","0.5334"
"H215","H75","0.5267"
"H215","H74","0.5681"
"H215","H73","0.5684"
"H215","H72","0.5535"
"H215","H71","0.5654"
"H215","H70","0.5647"
"H215","H7","0.5554"
"H215","H69","0.5637"
"H215","H68","0.5715"
"H215","H67","0.5761"
"H215","H66","0.5768"
"H215","H65","0.5925"
"H215","H64","0.5507"
"H215","H63","0.5527"
"H215","H62","0.573"
"H215","H61","0.5679"
"H215","H60","0.5869"
"H215","H6","0.5709"
"H215","H59","0.6486"
"H215","H58","0.5732"
"H215","H57","0.5669"
"H215","H56","0.5555"
"H215","H55","0.5593"
"H215","H54","0.5584"
"H215","H53","0.5583"
"H215","H52","0.5635"
"H215","H51","0.5177"
"H215","H50","0.5536"
"H215","H5","0.5704"
"H215","H49","0.564"
"H215","H48","0.5243"
"H215","H47","0.5903"
"H215","H46","0.5493"
"H215","H45","0.5592"
"H215","H44","0.5787"
"H215","H43","0.5696"
"H215","H42","0.5636"
"H215","H41","0.5738"
"H215","H40","0.5657"
"H215","H4","0.5688"
"H215","H39","0.5675"
"H215","H38","0.5546"
"H215","H37","0.5597"
"H215","H36","0.581"
"H215","H35","0.5897"
"H215","H34","0.5708"
"H215","H335","0.5574"
"H215","H334","0.7841"
"H215","H333","0.4792"
"H215","H332","0.526"
"H215","H331","0.5297"
"H215","H330","0.522"
"H215","H33","0.5605"
"H215","H329","0.6502"
"H215","H328","0.5031"
"H215","H327","0.537"
"H215","H326","0.4915"
"H215","H325","0.7064"
"H215","H324","0.5927"
"H215","H323","0.6153"
"H215","H322","0.4876"
"H215","H321","0.586"
"H215","H320","0.6976"
"H215","H32","0.5559"
"H215","H319","0.7065"
"H215","H318","0.6024"
"H215","H317","0.5878"
"H215","H316","0.5437"
"H215","H315","0.5243"
"H215","H314","0.5497"
"H215","H313","0.7374"
"H215","H312","0.7379"
"H215","H311","0.5548"
"H215","H310","0.7763"
"H215","H309","0.7809"
"H215","H308","0.7762"
"H215","H307","0.7725"
"H215","H306","0.7761"
"H215","H305","0.7815"
"H215","H304","0.7748"
"H215","H303","0.7723"
"H215","H302","0.5499"
"H215","H301","0.5609"
"H215","H300","0.5267"
"H215","H30","0.6058"
"H215","H3","0.5699"
"H215","H298","0.5833"
"H215","H297","0.6127"
"H215","H296","0.5696"
"H215","H294","0.5454"
"H215","H293","0.7369"
"H215","H292","0.5548"
"H215","H291","0.5546"
"H215","H290","0.5549"
"H215","H29","0.6028"
"H215","H289","0.592"
"H215","H288","0.6077"
"H215","H287","0.6122"
"H215","H286","0.5026"
"H215","H285","0.5365"
"H215","H284","0.5528"
"H215","H283","0.5437"
"H215","H282","0.5411"
"H215","H281","0.5565"
"H215","H280","0.4623"
"H215","H28","0.6064"
"H215","H279","0.5591"
"H215","H278","0.5165"
"H215","H277","0.5838"
"H215","H276","0.5818"
"H215","H275","0.687"
"H215","H274","0.7145"
"H215","H273","0.5752"
"H215","H272","0.5461"
"H215","H271","0.5606"
"H215","H270","0.5609"
"H215","H27","0.6063"
"H215","H269","0.5617"
"H215","H268","0.5512"
"H215","H267","0.5507"
"H215","H266","0.5497"
"H215","H265","0.5545"
"H215","H264","0.554"
"H215","H262","0.552"
"H215","H26","0.5673"
"H215","H259","0.5465"
"H215","H258","0.5583"
"H215","H257","0.5545"
"H215","H256","0.5636"
"H215","H255","0.5503"
"H215","H254","0.5455"
"H215","H253","0.5532"
"H215","H252","0.5476"
"H215","H251","0.5435"
"H215","H250","0.5579"
"H215","H25","0.6017"
"H215","H249","0.5557"
"H215","H248","0.5692"
"H215","H247","0.5471"
"H215","H246","0.548"
"H215","H245","0.5557"
"H215","H244","0.746"
"H215","H243","0.6871"
"H215","H242","0.5592"
"H215","H241","0.5726"
"H215","H240","0.572"
"H215","H24","0.5942"
"H215","H239","0.5595"
"H215","H238","0.5359"
"H215","H237","0.5286"
"H215","H236","0.5751"
"H215","H235","0.5568"
"H215","H234","0.5866"
"H215","H233","0.573"
"H215","H232","0.5752"
"H215","H231","0.7771"
"H215","H230","0.7729"
"H215","H23","0.5361"
"H215","H229","0.7753"
"H215","H228","0.5454"
"H215","H227","0.5431"
"H215","H226","0.4759"
"H215","H225","0.631"
"H215","H224","0.5413"
"H215","H223","0.5611"
"H215","H222","0.5603"
"H215","H221","0.5596"
"H215","H220","0.5588"
"H215","H219","0.6671"
"H215","H218","0.6419"
"H215","H217","0.9516"
"H215","H216","0.9409"
"H215","H215","1"
"H215","H214","0.9527"
"H215","H213","0.9116"
"H215","H212","0.9369"
"H215","H211","0.5682"
"H215","H210","0.5749"
"H215","H21","0.532"
"H215","H209","0.5394"
"H215","H208","0.5489"
"H215","H207","0.5122"
"H215","H206","0.5066"
"H215","H205","0.6939"
"H215","H204","0.6855"
"H215","H203","0.562"
"H215","H202","0.5587"
"H215","H201","0.5661"
"H215","H200","0.7609"
"H215","H20","0.5846"
"H215","H2","0.5687"
"H215","H199","0.7395"
"H215","H198","0.7198"
"H215","H197","0.7294"
"H215","H196","0.5708"
"H215","H195","0.6023"
"H215","H194","0.5882"
"H215","H193","0.6334"
"H215","H192","0.634"
"H215","H191","0.6458"
"H215","H190","0.6593"
"H215","H19","0.6019"
"H215","H189","0.6073"
"H215","H188","0.678"
"H215","H187","0.6402"
"H215","H186","0.6689"
"H215","H185","0.6584"
"H215","H184","0.6356"
"H215","H183","0.6733"
"H215","H182","0.6791"
"H215","H181","0.691"
"H215","H180","0.5253"
"H215","H18","0.5726"
"H215","H179","0.5432"
"H215","H178","0.572"
"H215","H177","0.7788"
"H215","H176","0.7561"
"H215","H175","0.7585"
"H215","H174","0.6299"
"H215","H173","0.7488"
"H215","H172","0.7291"
"H215","H171","0.6922"
"H215","H170","0.7966"
"H215","H17","0.5769"
"H215","H169","0.6303"
"H215","H168","0.5443"
"H215","H167","0.539"
"H215","H166","0.6592"
"H215","H165","0.7659"
"H215","H164","0.7704"
"H215","H163","0.7051"
"H215","H162","0.7325"
"H215","H161","0.7246"
"H215","H160","0.7766"
"H215","H16","0.5671"
"H215","H159","0.7749"
"H215","H158","0.7769"
"H215","H157","0.567"
"H215","H156","0.5003"
"H215","H155","0.5362"
"H215","H154","0.5308"
"H215","H153","0.5788"
"H215","H152","0.5822"
"H215","H151","0.5807"
"H215","H150","0.579"
"H215","H15","0.5935"
"H215","H149","0.5837"
"H215","H148","0.5779"
"H215","H147","0.5749"
"H215","H146","0.547"
"H215","H145","0.5366"
"H215","H144","0.5181"
"H215","H143","0.5401"
"H215","H142","0.5503"
"H215","H141","0.5757"
"H215","H140","0.5801"
"H215","H139","0.5581"
"H215","H138","0.5552"
"H215","H136","0.5477"
"H215","H135","0.5528"
"H215","H134","0.7415"
"H215","H133","0.6384"
"H215","H132","0.4964"
"H215","H131","0.5751"
"H215","H130","0.5723"
"H215","H13","0.5675"
"H215","H129","0.5774"
"H215","H128","0.5715"
"H215","H127","0.5484"
"H215","H126","0.5674"
"H215","H125","0.538"
"H215","H124","0.5409"
"H215","H123","0.5608"
"H215","H122","0.5428"
"H215","H121","0.5825"
"H215","H120","0.5544"
"H215","H12","0.5512"
"H215","H119","0.555"
"H215","H118","0.5544"
"H215","H117","0.5549"
"H215","H116","0.5548"
"H215","H115","0.5554"
"H215","H114","0.5551"
"H215","H113","0.555"
"H215","H112","0.5551"
"H215","H111","0.555"
"H215","H110","0.5553"
"H215","H11","0.5515"
"H215","H109","0.5553"
"H215","H108","0.5676"
"H215","H107","0.568"
"H215","H106","0.5678"
"H215","H105","0.5694"
"H215","H104","0.5686"
"H215","H103","0.5683"
"H215","H102","0.5557"
"H215","H101","0.5693"
"H215","H100","0.5899"
"H215","H10","0.538"
"H215","H1","0.5691"
"H214","H368","0.59"
"H214","H367","0.552"
"H214","H366","0.4558"
"H214","H365","0.5761"
"H214","H364","0.6152"
"H214","H363","0.5406"
"H214","H362","0.5613"
"H214","H361","0.5605"
"H214","H99","0.5425"
"H214","H98","0.5733"
"H214","H97","0.551"
"H214","H96","0.5136"
"H214","H95","0.5133"
"H214","H94","0.5128"
"H214","H93","0.5134"
"H214","H92","0.5111"
"H214","H91","0.5438"
"H214","H90","0.5293"
"H214","H9","0.5411"
"H214","H89","0.5349"
"H214","H88","0.5523"
"H214","H87","0.5337"
"H214","H86","0.6339"
